2010CensusBG,TotPop,EmploymentMix,EmploymentHHMix,IntersectionDensity,ProximitytoTransit,PopDensity,ResDensity,WalkIndex,MedHV,MedRent,MedRent12,MedIncome,MedYrsLived,MedAge,Percent65,Percentage of Households with a person over 65,Percentage of Elderly Population: Female,Percentage of Elderly Population below poverty line,Percentage of Elderly Population living with family,Percentage of Elderly Population not working in the past year
530330027001,1829,0.753828178,0.293359452,221.70594,293.71,20.442529,7.454985,16.33333333,689100,2602,31224,52863,8,29.4,0.084199016,16.29%,0.785714286,0.090909091,0.75974026,0.662337662
530330027002,1963,0.488585712,0.288660613,133.4845058,0,15.948814,5.622302,14.5,702000,2806,33672,62827,6,32.1,0.103413143,23.27%,0.39408867,0,0.571428571,0.325123153
530330027003,1349,0.683935327,0.449518714,221.7284276,194.46,17.305215,6.568028,17,848100,1891,22692,60077,8,36.2,0.154188288,26.69%,0.403846154,0.057692308,0.8125,0.807692308
530330027004,1274,0.775066772,0.786827072,219.2160815,374.17,12.231669,5.837406,18,772300,1788,21456,62319,7,36.2,0.157770801,23.68%,0.621890547,0.004975124,0.751243781,0.7960199
530330028001,1159,0.723748749,0.510584859,142.0508431,460,17.946505,7.448032,15.33333333,643700,1212,14544,66944,10,39.2,0.163071613,32.02%,0.486772487,0,0.481481481,0.740740741
530330028002,1206,0.530858127,0.765985366,141.7467426,470.73,24.279976,10.146856,15.5,652500,1454,17448,55685,6,35.3,0.085406302,18.29%,0.582524272,0,0.388349515,0.40776699
530330028003,1326,0.631800492,0.429481494,157.7055395,295.05,28.003615,13.811738,15.5,479600,1812,21744,63792,7,37.4,0.079939668,15.99%,0.452830189,0,0.405660377,0.650943396
530330028004,1234,0.761947224,0.543579606,132.4712444,238.72,15.324961,8.767765,16.83333333,623700,1229,14748,67868,7,35.6,0.113452188,14.36%,0.528571429,0.142857143,0.685714286,0.478571429
530330029001,1970,0.75221945,0.550561022,157.9575628,250.79,22.100596,8.997299,16.83333333,592500,1478,17736,58125,8,37.7,0.091370558,17.95%,0.594444444,0.111111111,0.483333333,0.427777778
530330029002,1543,0.705295039,0.620951656,240.3013734,295.05,18.889847,8.079908,17.66666667,730400,1455,17460,66406,14,43,0.092676604,17.37%,0.538461538,0,0.811188811,0.895104895
530330029003,1350,0.52805108,0.229413986,190.3142578,240.06,18.619077,8.123434,14.66666667,619800,1750,21000,63203,10,37.9,0.078518519,16.25%,0.632075472,0,0.509433962,0.70754717
